station_id,station_name,city,city_en,lon,lat
1141A,普陀,上海市,shanghai,121.4,31.238
1142A,十五厂,上海市,shanghai,121.478,31.204
1143A,虹口,上海市,shanghai,121.467,31.301
1144A,徐汇上师大,上海市,shanghai,121.412,31.165
1145A,杨浦四漂,上海市,shanghai,121.536,31.266
1147A,静安监测站,上海市,shanghai,121.425,31.226
1148A,浦东川沙,上海市,shanghai,121.703,31.191
1149A,浦东新区监测站,上海市,shanghai,121.533,31.228
1150A,浦东张江,上海市,shanghai,121.577,31.207
1151A,迈皋桥,南京市,nanjing,118.809,32.106
1152A,草场门,南京市,nanjing,118.754,32.055
1153A,山西路,南京市,nanjing,118.779,32.074
1154A,中华门,南京市,nanjing,118.775,32.002
1155A,瑞金路,南京市,nanjing,118.811,32.031
1156A,玄武湖,南京市,nanjing,118.8,32.075
1157A,浦口,南京市,nanjing,118.641,32.093
1158A,奥体中心,南京市,nanjing,118.736,32.0
1159A,仙林大学城,南京市,nanjing,118.912,32.103
1160A,上方山,苏州市,suzhou,120.561,31.247
1162A,彩香,苏州市,suzhou,120.591,31.302
1163A,轧钢厂,苏州市,suzhou,120.596,31.326
1164A,吴中区,苏州市,suzhou,120.613,31.27
1165A,苏州新区,苏州市,suzhou,120.543,31.299
1166A,苏州工业园区,苏州市,suzhou,120.669,31.31
1167A,相城区,苏州市,suzhou,120.641,31.371
1168A,狼山街道,南通市,nantong,120.91,31.966
1169A,虹桥,南通市,nantong,120.86,32.001
1170A,城中,南通市,nantong,120.87,32.02
1171A,星湖花园,南通市,nantong,120.94,31.93
1172A,紫琅学院,南通市,nantong,120.81,32.042
1186A,邗江监测站,扬州市,yangzhou,119.389,32.376
1188A,雪浪,无锡市,wuxi,120.269,31.487
1189A,黄巷,无锡市,wuxi,120.275,31.622
1190A,曹张,无锡市,wuxi,120.294,31.56
1191A,漆塘,无锡市,wuxi,120.242,31.503
1192A,东亭,无锡市,wuxi,120.349,31.586
1193A,旺庄,无锡市,wuxi,120.354,31.548
1194A,荣巷,无锡市,wuxi,120.245,31.563
1195A,堰桥,无锡市,wuxi,120.299,31.682
1196A,市监测站,常州市,changzhou,119.963,31.762
1200A,武进监测站,常州市,changzhou,119.947,31.707
1201A,安家,常州市,changzhou,119.926,31.909
1203A,新区办事处,镇江市,zhenjiang,119.671,32.188
1204A,职教中心,镇江市,zhenjiang,119.497,32.197
1205A,丹徒区监测站,镇江市,zhenjiang,119.43,32.133
1206A,公园路,泰州市,taizhou,119.905,32.488
1207A,莲花,泰州市,taizhou,119.919,32.462
1209A,留学生创业园,泰州市,taizhou,119.888,32.464
1223A,滨江,杭州市,hangzhou,120.207,30.211
1224A,西溪,杭州市,hangzhou,120.063,30.275
1226A,下沙,杭州市,hangzhou,120.346,30.315
1227A,卧龙桥,杭州市,hangzhou,120.127,30.246
1228A,浙江农大,杭州市,hangzhou,120.19,30.269
1230A,和睦小学,杭州市,hangzhou,120.12,30.312
1231A,临平镇,杭州市,hangzhou,120.302,30.418
1232A,城厢镇,杭州市,hangzhou,120.27,30.182
1233A,云栖,杭州市,hangzhou,120.088,30.181
1234A,区环保大楼,宁波市,ningbo,121.836,29.911
1235A,万里学院,宁波市,ningbo,121.56,29.82
1236A,龙赛医院,宁波市,ningbo,121.713,29.957
1239A,钱湖水厂,宁波市,ningbo,121.633,29.773
1240A,太古小学,宁波市,ningbo,121.586,29.864
1241A,市环境监测中心,宁波市,ningbo,121.524,29.867
1247A,城东开发委,绍兴市,shaoxing,120.605,29.993
1250A,城西水厂,湖州市,huzhou,120.075,30.867
1252A,清河小学,嘉兴市,jiaxing,120.744,30.778
1253A,嘉兴学院,嘉兴市,jiaxing,120.726,30.748
1255A,黄岩环保大楼,台州市,taizhou,121.273,28.646
1256A,台州环保大楼,台州市,taizhou,121.419,28.654
1257A,路桥田洋王,台州市,taizhou,121.377,28.577
1258A,定海檀枫,舟山市,zhoushan,122.122,30.02
1259A,普陀东港,舟山市,zhoushan,122.309,29.956
1260A,临城新区,舟山市,zhoushan,122.19,29.994
2869A,五台山医院,扬州市,yangzhou,119.447,32.416
2870A,市疾控中心,镇江市,zhenjiang,119.442,32.187
2871A,万里国际学校,宁波市,ningbo,121.615,29.902
2872A,南湖区残联,嘉兴市,jiaxing,120.785,30.752
2873A,仁皇山新区,湖州市,huzhou,120.088,30.896
2907A,吴兴区站,湖州市,huzhou,120.184,30.86
2921A,树下王站,绍兴市,shaoxing,120.548,30.0
2997A,王营,泰州市,taizhou,119.877,32.329
3002A,行政中心,常州市,changzhou,119.98,31.817
3003A,经开区,常州市,changzhou,120.052,31.775
3010A,钟楼,常州市,changzhou,119.902,31.796
3164A,广陵建设局,扬州市,yangzhou,119.469,32.394
3195A,市体育局,扬州市,yangzhou,119.363,32.397
3265A,宝山庙行,上海市,shanghai,121.432,31.332
3266A,崇明上实东滩,上海市,shanghai,121.879,31.466
3268A,嘉定南翔,上海市,shanghai,121.316,31.284
3269A,金山新城,上海市,shanghai,121.336,30.746
3270A,闵行浦江,上海市,shanghai,121.5,31.074
3271A,青浦徐泾,上海市,shanghai,121.289,31.166
3272A,松江图书馆,上海市,shanghai,121.219,31.038
3273A,长宁仙霞,上海市,shanghai,121.39,31.206
3274A,浦东惠南,上海市,shanghai,121.796,31.051
3287A,富润路1号,镇江市,zhenjiang,119.384,32.198
3289A,方洲路,苏州市,suzhou,120.743,31.319
3290A,木渎中学,苏州市,suzhou,120.503,31.277
3291A,通州监测站,南通市,nantong,121.067,32.062
3294A,引江管理处,扬州市,yangzhou,119.565,32.422
3295A,姜堰区政府广场,泰州市,taizhou,120.126,32.51
3407A,秀洲住建,嘉兴市,jiaxing,120.692,30.774
3408A,绍兴中专,绍兴市,shaoxing,120.568,29.936
3409A,柯桥区政府,绍兴市,shaoxing,120.491,30.086
3410A,重华小学,绍兴市,shaoxing,120.875,30.025
3411A,上虞中学,绍兴市,shaoxing,120.837,30.014
3422A,江宁彩虹桥,南京市,nanjing,118.844,31.92
3423A,溧水永阳,南京市,nanjing,119.014,31.649
3424A,高淳老职中,南京市,nanjing,118.879,31.33
3425A,越秀幼儿园,苏州市,suzhou,120.624,31.173
3427A,六合雄州,南京市,nanjing,118.855,32.358
3428A,华庄,无锡市,wuxi,120.314,31.475
3429A,武进经发区,常州市,changzhou,119.86,31.707
3430A,金坛城区,常州市,changzhou,119.583,31.724
3431A,高铁新城,苏州市,suzhou,120.65,31.416
3432A,环境教育馆,南通市,nantong,120.935,31.988
3435A,周山河街区,泰州市,taizhou,119.919,32.432
3544A,奉贤南桥新城,上海市,shanghai,121.489,30.925
3557A,镇二中,杭州市,hangzhou,119.946,30.049
3558A,市府大楼,杭州市,hangzhou,119.718,30.237
3560A,柯桥妇保,绍兴市,shaoxing,120.472,30.042
3562A,南浔区站,湖州市,huzhou,120.415,30.854
3564A,台州科技职业学院,台州市,taizhou,121.257,28.668
3656A,消防大队,杭州市,hangzhou,120.156,30.286
3658A,袍江中学,绍兴市,shaoxing,120.615,30.076
3710A,白沙活动中心,宁波市,ningbo,121.559,29.898
4033A,普陀东港中学,舟山市,zhoushan,122.312,29.962
